functional_groups,topology,CO2_mean,CO2_median,CO2_std,CO2_min,CO2_max
COOH-OEt,pcu,112.00504790706054,101.25564349282423,68.41681613727798,-6.1878944030814464,317.51087371474733
COOH-OEt,etb,67.2660520993795,67.2660520993795,11.335146247352025,55.93090585202747,78.60119834673152
COOH-OEt,sra,193.15861378554038,215.3269222540499,104.54700338744294,0.0,363.01488448670983
COOH-OEt,acs,188.21940752171858,194.6473703903705,41.361727945540025,119.96079730373432,243.3155684350625
COOH-OEt,bcu,195.87994194902976,186.3446803304163,20.7426652456561,176.62266211045952,224.67248340621344
COOH-OEt,nbo,21.486556081505086,3.2668648856070917,29.27102136489901,-1.4947681424543822,67.77151648946179
COOH-OEt,pts,100.59962929093426,100.59962929093426,0.0,100.59962929093426,100.59962929093426
F-OMe,pcu,105.01262729692417,83.57644042794992,81.25200797294549,-8.242272043373525,504.1386603250432
F-OMe,etb,63.639785554782975,73.8181053674255,52.38426344656159,-0.2631320175673422,164.99285422486557
F-OMe,sra,158.0074695156768,120.60987829060684,100.23633174608037,2.0012229918249003,388.74288988066104
F-OMe,acs,136.3269329536146,115.14006687147644,63.21219073191932,52.01595043883607,281.49595815346464
F-OMe,fof,170.2375012324766,170.2375012324766,0.0,170.2375012324766,170.2375012324766
F-OMe,bcu,160.49286752543907,145.3959569014719,64.32781460899749,70.26664851300656,279.4359679105394
F-OMe,nbo,-2.064760955163465,0.5478065246532157,7.685300277531895,-18.584152701200647,5.753247852106032
F-OMe,pts,-2.531779017208488,-2.531779017208488,0.0,-2.531779017208488,-2.531779017208488
OMe-COOH,pcu,121.11178659243477,101.56087003014044,71.30418552194992,-3.790487695973221,378.6238625626808
OMe-COOH,etb,82.05261881304142,85.4872014714518,30.14326600620407,0.0,119.13723040558914
OMe-COOH,sra,146.71701735066577,121.58886475872676,71.13568667500397,61.37001303322344,264.8121666732397
OMe-COOH,acs,118.15002679374483,117.08326545666714,53.28618422785661,0.0,211.78941436793983
OMe-COOH,fof,377.50910063380223,377.50910063380223,0.0,377.50910063380223,377.50910063380223
OMe-COOH,bcu,138.17022624089614,138.17022624089614,0.0,138.17022624089614,138.17022624089614
OMe-COOH,nbo,19.61744935362397,4.831295331332123,32.10563116805156,-9.402595099509568,75.01243419245672
H-SO3H,pcu,131.36380419068243,110.54961822372698,82.76782936787316,-4.089936554108202,473.5534425817185
H-SO3H,etb,82.23635932828833,89.7730013498032,34.49494607777719,0.0,131.1978880815537
H-SO3H,sra,146.42425347213768,148.79141641799802,79.61467958597241,5.18687021579891,304.3278605886946
H-SO3H,acs,119.6380205228902,94.79537278548551,64.01609520220576,55.037511574063565,289.28790137379946
H-SO3H,fof,269.9217810645584,269.9217810645584,0.0,269.9217810645584,269.9217810645584
H-SO3H,bcu,164.1609509610446,171.0553729897146,79.62132006030481,3.0867663717012133,301.63810331501696
H-SO3H,nbo,33.16991558536034,4.786807201636768,41.45241947526285,-11.41223699528424,117.73820666099488
H-SO3H,pts,129.23743899709342,129.23743899709342,0.0,129.23743899709342,129.23743899709342
NHMe-OH,pcu,112.66937246567117,96.15114647449465,73.09866772802805,-10.438780591523502,433.19684873057463
NHMe-OH,etb,48.5329296047595,75.4213288019387,37.07869698953576,0.0,85.37494941878819
NHMe-OH,sra,179.35091169778434,140.9422741737692,112.00855017225743,0.5891581999358961,459.8314545263325
NHMe-OH,acs,141.2280423129858,144.14723535386327,70.43788734156057,50.305592324648345,326.20347458115964
NHMe-OH,fof,443.98872805834435,443.98872805834435,0.0,443.98872805834435,443.98872805834435
NHMe-OH,bcu,155.21966227501804,179.4058527103249,60.36012260858535,67.99866181955758,218.92121647268382
NHMe-OH,nbo,10.843383210756597,-0.017828267187749644,33.417978102523534,-11.259541188352125,98.43828204751568
Pr-NO2,pcu,123.00389798068485,102.233969654752,81.433291245982,-4.087295329339646,442.54381303339653
Pr-NO2,etb,26.402783296801072,0.0,37.614166516891245,-0.3884251175256941,79.59677500792891
Pr-NO2,sra,142.0478661004043,117.05916428065404,96.36665493347245,0.0,334.5584939068408
Pr-NO2,acs,135.7039826132575,106.90522327276449,76.2613785330665,61.84658902739967,291.515279236432
Pr-NO2,fof,357.6035101655837,357.6035101655837,0.0,357.6035101655837,357.6035101655837
Pr-NO2,bcu,279.0082545745814,279.0082545745814,24.002790390440268,255.00546418414112,303.01104496502165
Pr-NO2,nbo,-5.877385416228139,-6.200935450376189,2.2718839467678897,-8.483944109696354,-2.9472766886118755
NH2,pcu,115.76023542216889,86.6194615144219,97.7811095151119,-9.865964969843024,546.0420214312725
NH2,etb,64.53924264414744,70.95072572806247,34.70260038947061,0.0,124.89757654926062
NH2,sra,204.49882041516852,190.88279971243878,147.11238115083316,-3.4515855428579423,635.0980127946867
NH2,acs,199.77873361689277,201.08758429712304,87.46699813507249,65.770788727281,437.12253411938826
NH2,fof,217.98550178074743,175.26853918693072,129.0313216812157,77.43097069771339,572.2223365668385
NH2,bcu,147.550624584081,128.57795818769472,82.99870065867505,48.35900967022293,391.45113572771857
NH2,nbo,-1.4348164671218686,-4.52986555462072,15.146023982983555,-15.689865584507913,64.54955242492017
NH2,tbo,142.66476541423745,142.66476541423745,0.0,142.66476541423745,142.66476541423745
NH2,pts,58.37453399258542,78.5449897821257,39.73349773268223,-9.90310719315082,86.31126359924109
NH2,the,146.56478139983173,146.56478139983173,99.11402289689582,47.4507585029359,245.67880429672755
Br,pcu,87.6714607363246,73.27186706997865,77.55906698796068,-10.347988490104406,390.2224709806962
Br,etb,25.474417802251995,0.0,35.6253895636513,0.0,95.87068141938364
Br,sra,179.1799296136605,160.69574660297374,123.17222372600307,0.7562156665470483,492.7729749163048
Br,acs,156.94308394693886,138.50260787036405,76.66986285342158,3.659912146477758,380.6156761912677
Br,fof,198.88339143566205,197.45449708970096,77.48595334103358,72.30468357504323,354.34935617417534
Br,bcu,122.66570322993634,92.15249725144965,81.54394336707234,-6.406950982323519,333.59230087119363
Br,nbo,-2.720748867084675,-2.0679139172309267,5.755532097929555,-13.90819440156919,7.990695384168616
Br,tbo,67.69574635391386,67.69574635391386,0.0,67.69574635391386,67.69574635391386
Br,pts,49.98028147398792,71.48194205963817,35.14325100633251,0.4244118049972628,78.03449055732833
Br,the,188.6037528902714,188.6037528902714,0.0,188.6037528902714,188.6037528902714
HCO,pcu,131.27045263515635,96.390672545693,102.69567287268737,-11.480743762718644,559.4196598074581
HCO,etb,71.83817725029711,81.27147658774113,39.09971787721189,0.0,135.62738709496938
HCO,sra,189.84871611112803,147.3895863720872,133.71696955672286,0.0,656.7705826330689
HCO,acs,185.92345145769474,175.88146840978362,92.43597217173115,18.33142050615949,491.55999244134557
HCO,fof,233.00227078152756,186.2886368423585,132.26226480590555,78.15417105465349,497.13000532513314
HCO,bcu,163.31861550674682,137.68374565383786,90.30195653286707,43.464490020993516,427.41669340113884
HCO,nbo,5.177978389846661,-2.8894998967997227,30.108493109483195,-17.46774000684184,127.23869215348905
HCO,tbo,107.46730891882268,107.46730891882268,12.460968304948821,95.00634061387386,119.9282772237715
HCO,pts,72.35849852970254,72.35849852970254,0.0,72.35849852970254,72.35849852970254
HCO,the,57.900269070081656,57.900269070081656,0.0,57.900269070081656,57.900269070081656
SO3H,pcu,143.54722887344568,118.86939370640278,94.48086605715979,-9.137482163365812,531.281701888748
SO3H,etb,64.91218253750512,76.69852605408333,53.44089240191425,-12.985581574603147,208.0182406280867
SO3H,sra,162.52520357758695,144.29844547186306,95.23944295981036,0.0,540.5380391666987
SO3H,acs,174.85189502498145,182.73231022977248,84.82285744238057,24.679109007738546,410.82121787411245
SO3H,fof,261.33760247489533,186.67590642404798,154.6054043771179,55.489986392226726,595.3588052331927
SO3H,bcu,174.08696894487878,151.25320297883982,92.31066400189154,45.77952353063242,341.9474852734229
SO3H,nbo,18.248601155857642,-0.4853250512220742,44.25362961423968,-17.116457112623962,139.22572568903018
SO3H,tbo,178.84401467908873,178.84401467908873,117.77741234115312,61.06660233793561,296.62142702024187
SO3H,pts,123.06984900942025,89.06573087974844,55.70608894251455,78.52889481869231,201.61492132982
Me-Br,pcu,106.0926179159547,102.17833885806428,70.08475805376578,-5.331642348425358,361.5716202272423
Me-Br,etb,49.506566806644294,70.85927332045122,35.116368841487166,0.0,77.66042709948167
Me-Br,sra,208.76341974827938,196.46890755965967,83.91544181412333,80.97846571497952,375.8292816810009
Me-Br,acs,130.10310041498744,131.93445963888462,42.33808552062008,69.9700059561882,233.5458430927237
Me-Br,fof,316.54104899504335,316.54104899504335,18.77134950667198,297.7696994883714,335.31239850171534
Me-Br,bcu,132.88560319590272,129.92374474554776,40.61200961856548,76.62952405700483,205.50247403603763
Me-Br,nbo,-3.4909838123222268,-3.5169558558796825,6.796864901066624,-14.880990499137795,5.022288897408295
NHMe-NO2,pcu,122.67580180210342,100.13345311928423,75.73475405337352,-2.3729753779990874,368.62897280882265
NHMe-NO2,etb,48.53954838825691,68.22267069524071,38.996049755856774,-0.012875970746708,98.8803570431527
NHMe-NO2,sra,187.95150793622824,190.25526121508477,114.87693840505219,0.0,399.63761189785635
NHMe-NO2,acs,143.90510932703336,148.55543949258242,49.21139328722812,65.8686791202656,227.74257704656318
NHMe-NO2,bcu,152.11535062449713,154.3812384875497,57.11837428101203,60.142008592393154,227.95602102317204
