,metal_linker__convex_hull_area,metal_linker__convex_hull_volume,metal_linker__convex_hull_npoints,metal_linker__convex_hull_nsimplex,metal_linker_C_count,metal_linker_O_count,metal_linker_Zn_count,metal_linker_Ba_count,metal_linker_In_count,metal_linker_H_count,metal_linker_Ni_count,metal_linker_N_count,metal_linker_Cu_count,metal_linker_Cr_count,metal_linker_Cd_count,metal_linker_Mn_count,metal_linker_Zr_count,metal_linker_Al_count,metal_linker_V_count
1,99.65777762303432,75.49129509049999,23.0,32.0,6.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,91.90334954485485,67.30232814432848,12.0,18.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,43.69346944347551,21.365874082666668,13.0,20.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,242.4687252321182,296.08357808000005,60.0,44.0,24.0,0.0,0.0,0.0,0.0,16.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,44.91430924645058,23.10745029866666,14.0,24.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,46.26663431279793,24.637983992000002,14.0,24.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,84.43204228336053,62.64390105866666,22.0,32.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
8,141.85063276423529,120.54499483566667,28.0,28.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
9,220.8804188395564,257.89897392266664,44.0,44.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
10,197.3945171392011,242.67107127666662,54.0,68.0,12.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
11,67.88459017922543,40.760676563990835,19.0,32.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
12,75.57733276832421,45.84919085995101,16.0,16.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
