iter	RMSE
0	86.48700875
1	83.28030507
2	80.17213623
3	77.27955184
4	74.52965535
5	71.95292458
6	69.5209592
7	67.35500722
8	65.2761313
9	63.35254388
10	61.52898664
11	59.87615286
12	58.36114208
13	57.06540713
14	55.73925833
15	54.46014215
16	53.27153141
17	52.15336894
18	51.20413429
19	50.31740966
20	49.50195553
21	48.70503468
22	47.90974252
23	47.18156584
24	46.58053768
25	45.93923281
26	45.34344368
27	44.84120821
28	44.33524843
29	43.87569618
30	43.47711404
31	43.11511177
32	42.7351682
33	42.33342632
34	41.96224484
35	41.62010829
36	41.26826304
37	40.95481762
38	40.67758375
39	40.40407741
40	40.16937184
41	39.92568147
42	39.64931623
43	39.42280643
44	39.17148799
45	38.97176033
46	38.76723451
47	38.5718925
48	38.40445188
49	38.21937764
50	38.0448887
51	37.87489036
52	37.7457846
53	37.59531839
54	37.42133558
55	37.26580342
56	37.11293518
57	36.98011769
58	36.82343878
59	36.67328938
60	36.53229726
61	36.40005639
62	36.2852783
63	36.17234642
64	36.06625116
65	35.93618861
66	35.83031638
67	35.74098278
68	35.65146132
69	35.55489572
70	35.46098435
71	35.38627141
72	35.29654506
73	35.21415915
74	35.130152
75	35.04138859
76	34.95812296
77	34.86941819
78	34.82086965
79	34.75193514
80	34.67772133
81	34.57842845
82	34.50456208
83	34.42971934
84	34.35790589
85	34.28656925
86	34.21366492
87	34.15006873
88	34.08729504
89	34.02811668
90	33.94412236
91	33.8765895
92	33.81589641
93	33.75792381
94	33.71948065
95	33.66231886
96	33.58922864
97	33.54512854
98	33.48839948
99	33.45393274
100	33.41028486
101	33.36825457
102	33.30324968
103	33.24948787
104	33.19685537
105	33.14462364
106	33.09994679
107	33.06402425
108	33.01855784
109	32.96692593
110	32.92412962
111	32.87900695
112	32.83238972
113	32.77627735
114	32.73202626
115	32.68884341
116	32.65508241
117	32.62594079
118	32.59393488
119	32.55742467
120	32.52785622
121	32.45828724
122	32.40463889
123	32.36743804
124	32.32354772
125	32.29592634
126	32.2603984
127	32.21485922
128	32.18081858
129	32.12551867
130	32.08599391
131	32.04639825
132	32.00877794
133	31.97216121
134	31.93342304
135	31.89866565
136	31.86380354
137	31.832824
138	31.787381
139	31.76110501
140	31.71944852
141	31.69185087
142	31.65997931
143	31.63134055
144	31.60286303
145	31.55284718
146	31.50368292
147	31.46764929
148	31.4350197
149	31.40769203
150	31.36505545
151	31.33571282
152	31.30706225
153	31.27315751
154	31.24199032
155	31.22152495
156	31.19359618
157	31.17468356
158	31.14623534
159	31.11270734
160	31.07944165
161	31.03747656
162	31.00938553
163	30.97848849
164	30.95160958
165	30.92272439
166	30.90169128
167	30.8733845
168	30.83772402
169	30.80838587
170	30.77682597
171	30.7297676
172	30.70423259
173	30.6745014
174	30.64860303
175	30.62056966
176	30.59604521
177	30.5736101
178	30.54525065
179	30.51598901
180	30.49490014
181	30.46155624
182	30.43198255
183	30.38983022
184	30.37233187
185	30.33922317
186	30.29677146
187	30.27556231
188	30.25032918
189	30.22446188
190	30.20082508
191	30.16501865
192	30.12997274
193	30.10602095
194	30.08080356
195	30.04486991
196	30.02113873
197	29.99657949
198	29.98169892
199	29.96511253
200	29.93590005
201	29.91548146
202	29.89247812
203	29.86641387
204	29.84427364
205	29.82500436
206	29.80260266
207	29.78433513
208	29.76008592
209	29.7370788
210	29.70209944
211	29.67320928
212	29.65131133
213	29.62516151
214	29.60682583
215	29.58890359
216	29.55631739
217	29.52733485
218	29.51308007
219	29.49515949
220	29.47200848
221	29.44052978
222	29.41105531
223	29.39232256
224	29.36873665
225	29.35079785
226	29.32464736
227	29.29857723
228	29.27374113
229	29.25343619
230	29.23773772
231	29.21651077
232	29.2005638
233	29.17426621
234	29.15534308
235	29.12889509
236	29.1089564
237	29.09435114
238	29.07442402
239	29.05393654
240	29.03759155
241	29.02369678
242	29.0023563
243	28.97851566
244	28.95786014
245	28.94454106
246	28.92509124
247	28.90240291
248	28.88156536
249	28.8590183
250	28.8456239
251	28.83032804
252	28.81700165
253	28.7931215
254	28.77472609
255	28.74988964
256	28.72380979
257	28.70401335
258	28.68622667
259	28.66519323
260	28.64422899
261	28.62557673
262	28.61034577
263	28.59317029
264	28.57056916
265	28.54249241
266	28.52767974
267	28.50474258
268	28.48990946
269	28.46196239
270	28.44243842
271	28.42121272
272	28.40043506
273	28.38568819
274	28.35607503
275	28.33951915
276	28.32454538
277	28.31172935
278	28.29422179
279	28.27848751
280	28.26640461
281	28.25240043
282	28.23319502
283	28.21633727
284	28.19245859
285	28.17515255
286	28.16100504
287	28.14755775
288	28.13465067
289	28.11794773
290	28.08794435
291	28.06361682
292	28.04454315
293	28.03182915
294	28.01730281
295	27.99234983
296	27.97813178
297	27.96477035
298	27.95160803
299	27.93790182
300	27.92128831
301	27.898933
302	27.88404285
303	27.86637553
304	27.85174232
305	27.83716131
306	27.82179779
307	27.80839014
308	27.79578788
309	27.78185873
310	27.76113739
311	27.74286822
312	27.72955462
313	27.71042019
314	27.69275975
315	27.68134751
316	27.6601989
317	27.64232941
318	27.62172678
319	27.60497213
320	27.58384259
321	27.56331091
322	27.54211166
323	27.53021271
324	27.51637589
325	27.49524565
326	27.48341772
327	27.46443062
328	27.44949503
329	27.43175046
330	27.4193855
331	27.40440375
332	27.392239
333	27.38255745
334	27.37064615
335	27.35894911
336	27.33925499
337	27.32770301
338	27.31040026
339	27.29713466
340	27.28579117
341	27.27027493
342	27.25936349
343	27.23796238
344	27.22769026
345	27.216073
346	27.20001325
347	27.18701536
348	27.17369513
349	27.1607258
350	27.14458939
351	27.12974275
352	27.11609923
353	27.09799455
354	27.0773285
355	27.06310922
356	27.04928057
357	27.03569388
358	27.02195855
359	27.00984674
360	26.99925505
361	26.98035389
362	26.96620626
363	26.95769653
364	26.94059596
365	26.92908997
366	26.91921293
367	26.90694011
368	26.88826547
369	26.87897585
370	26.86441732
371	26.84675176
372	26.83228303
373	26.81896359
374	26.80522499
375	26.7932732
376	26.7856749
377	26.77243344
378	26.76126513
379	26.75004285
380	26.73787729
381	26.72970586
382	26.71372265
383	26.69693489
384	26.68283413
385	26.66812221
386	26.65421085
387	26.64568448
388	26.63151817
389	26.61987243
390	26.61028965
391	26.59105011
392	26.58030743
393	26.56425289
394	26.54699728
395	26.53471528
396	26.52184563
397	26.51133752
398	26.50062708
399	26.49227262
400	26.47737694
401	26.46752589
402	26.46093485
403	26.45036706
404	26.43616792
405	26.4222386
406	26.41177607
407	26.39915188
408	26.3832357
409	26.3692162
410	26.35646128
411	26.34485894
412	26.32887151
413	26.31873666
414	26.30815914
415	26.28962432
416	26.27986581
417	26.26642951
418	26.2545534
419	26.24186303
420	26.23240219
421	26.22119939
422	26.20956638
423	26.19944073
424	26.18473382
425	26.1750729
426	26.15984455
427	26.14782114
428	26.13264506
429	26.12180676
430	26.10574571
431	26.09252139
432	26.08435013
433	26.07287766
434	26.05951573
435	26.04852399
436	26.03565499
437	26.02606009
438	26.01857136
439	26.00001095
440	25.985398
441	25.97206595
442	25.95873047
443	25.94445893
444	25.93687022
445	25.92571783
446	25.91333064
447	25.90397058
448	25.88773817
449	25.8817299
450	25.86874764
451	25.85892161
452	25.8466708
453	25.83578084
454	25.82307674
455	25.80784263
456	25.79723981
457	25.78462557
458	25.76971866
459	25.75731206
460	25.74639863
461	25.73550714
462	25.72787098
463	25.71830439
464	25.7053927
465	25.69522642
466	25.68795462
467	25.6775392
468	25.66528016
469	25.65335672
470	25.64255639
471	25.6327354
472	25.61970209
473	25.61003537
474	25.60435428
475	25.59488367
476	25.58673566
477	25.57017504
478	25.5622144
479	25.55512366
480	25.54237686
481	25.5266777
482	25.51597083
483	25.50555493
484	25.48844176
485	25.47577211
486	25.46264165
487	25.45378055
488	25.43905639
489	25.42638091
490	25.41363952
491	25.40441568
492	25.39546935
493	25.38482402
494	25.37446767
495	25.36486381
496	25.35698719
497	25.34321008
498	25.32844178
499	25.31911864
500	25.31191379
501	25.2987296
502	25.28528486
503	25.27399125
504	25.2629368
505	25.25261957
506	25.24385478
507	25.2349335
508	25.21577074
509	25.20669821
510	25.19916418
511	25.18707432
512	25.17848263
513	25.16841909
514	25.16023992
515	25.14859857
516	25.13670203
517	25.12281212
518	25.10726471
519	25.096835
520	25.08438394
521	25.07403487
522	25.06177004
523	25.05427695
524	25.04622826
525	25.03154236
526	25.01934486
527	25.00994097
528	25.0015619
529	24.98996004
530	24.98007777
531	24.97030834
532	24.95988934
533	24.94916856
534	24.93837279
535	24.92669702
536	24.91954431
537	24.90900172
538	24.89728506
539	24.89195837
540	24.88548741
541	24.87268359
542	24.85919305
543	24.84969558
544	24.83869082
545	24.83042801
546	24.81854128
547	24.80996647
548	24.80355585
549	24.79391867
550	24.7871818
551	24.77680584
552	24.76648277
553	24.75828538
554	24.74701753
555	24.73757694
556	24.72969876
557	24.71888505
558	24.70995205
559	24.69668298
560	24.68495918
561	24.67610322
562	24.66728439
563	24.6564928
564	24.64463477
565	24.63685296
566	24.62333444
567	24.6157089
568	24.6100747
569	24.59993782
570	24.58710715
571	24.57824114
572	24.56845517
573	24.56096707
574	24.55309839
575	24.54497721
576	24.5343047
577	24.52243709
578	24.51352728
579	24.5053783
580	24.49842912
581	24.49081974
582	24.47965195
583	24.46939155
584	24.45968435
585	24.4535473
586	24.44155765
587	24.43462107
588	24.42429783
589	24.41420277
590	24.39761136
591	24.39049917
592	24.38054427
593	24.37296459
594	24.36553809
595	24.35985117
596	24.35018578
597	24.34023472
598	24.33322347
599	24.32716214
600	24.31514693
601	24.30560643
602	24.29703488
603	24.28523384
604	24.27502068
605	24.26713348
606	24.2511387
607	24.24298048
608	24.23555762
609	24.22198888
610	24.21092319
611	24.199694
612	24.1889387
613	24.17914018
614	24.17103373
615	24.16128998
616	24.15228593
617	24.14423277
618	24.13583108
619	24.13020034
620	24.11947061
621	24.11156481
622	24.10429318
623	24.09510147
624	24.08843283
625	24.07401655
626	24.06505737
627	24.05521862
628	24.04598071
629	24.03078618
630	24.02554412
631	24.01707036
632	24.00770369
633	23.99922189
634	23.98714425
635	23.97437192
636	23.96342555
637	23.9513683
638	23.94117368
639	23.92985727
640	23.92113664
641	23.91183335
642	23.90415107
643	23.89332085
644	23.87807038
645	23.87096258
646	23.86211106
647	23.85703204
648	23.84936784
649	23.84465139
650	23.83540946
651	23.82505353
652	23.81628777
653	23.8107478
654	23.80491234
655	23.79489835
656	23.78649623
657	23.77753115
658	23.76546269
659	23.75814511
660	23.75112166
661	23.7386882
662	23.72843121
663	23.72076554
664	23.71382785
665	23.70356174
666	23.6942529
667	23.68888407
668	23.67957958
669	23.6739075
670	23.66703515
671	23.65657493
672	23.65021781
673	23.636307
